facility_id,category_name,manufacturername,facility_name,jpin,title,pvname,vendor_lead_time,inv_norm,safety_stock,vendor_id,vendor_name,current_vendor_mov,minimum_order_criteria,max_allocated_space,case_size,cases_allocated,space_value,current_inventory,inventory_breakup,max_drr,deadweight,earliest_promise_date,open_po_details,orderedquantity,open_po_value,open_po_cases,final_suggestion,final_days_of_inventory,final_cases_suggestion,final_value,final_tonnage,mov_check_x,mrp,cp,sales_band,current_days_inventory,target_inventory,available_inventory,inventory_gap,rounded_quantity,mov_check_y
FC-001,Baby Care,Colgate-Palmolive,FC-Alpha,SKU-00786,"Colgate Super Junior Toothbrush, Ultra Soft, 2+ years, 9Pcs Sheet",Baby Toothbrush,5,26,4,VND-052,COLGATE PALMOLIVE INDIA LTD - Region Beta,120000,VALUE,48,24,2.0,5511.0,0,"{'sellable': None, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",0,0.0,18/03/26,"{'open_po_1': {'promise_date': '2026-03-18', 'orderedquantity': 24.0, 'order_item_amount': 2755.44, 'open_po_cases': 1.0, 'mrp': 162.0, 'price_per_unit': 114.81, 'order_id': 'PO-00013', 'po_raising_drr': 0.0, 'po_raising_total_space': 48.0, 'po_raising_final_available_space': 48.0, 'order_date': '2026-03-13'}}",24,2755.0,1.0,0,0.0,0.0,0.0,0.0,,155.9,129.75,,0.0,0,24,0,0,FAIL
FC-001,Baby Care,Dabur India Limited,FC-Alpha,SKU-00726,"Dabur Lal Tail, 50ml Box",Baby Oil,5,9,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,240,120,2.0,13074.0,22,"{'sellable': 22.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",6,0.068,19/03/26,"{'open_po_1': {'promise_date': '2026-03-19', 'orderedquantity': 120.0, 'order_item_amount': 6536.4, 'open_po_cases': 1.0, 'mrp': 70.0, 'price_per_unit': 54.47, 'order_id': 'PO-00053', 'po_raising_drr': 7.0, 'po_raising_total_space': 240.0, 'po_raising_final_available_space': 240.0, 'order_date': '2026-03-14'}}",120,6536.0,1.0,0,3.6666666666666665,0.0,0.0,0.0,,79.47,51.47,Band B,3.6666666666666665,78,142,0,0,FAIL
FC-001,Baby Care,Dabur India Limited,FC-Alpha,SKU-00846,"Dabur Lal Tail, 100ml Box",Baby Oil,5,9,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,120,60,2.0,13074.0,32,"{'sellable': 32.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",2,0.121,,{},0,0.0,0.0,0,16.0,0.0,0.0,0.0,,149.74,109.19,Band C,16.0,26,32,0,0,FAIL
FC-001,Beverages,Dabur India Limited,FC-Alpha,SKU-00352,"Real Koolerz Fruit Drink, Mango, 10Rs Tetra Pak",Fruit Drinks,5,14,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,800,40,20.0,6076.0,0,"{'sellable': None, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",118,0.167,19/03/26,"{'open_po_1': {'promise_date': '2026-03-19', 'orderedquantity': 280.0, 'order_item_amount': 2125.2, 'open_po_cases': 7.0, 'mrp': 9.0, 'price_per_unit': 7.589999999999999, 'order_id': 'PO-00053', 'po_raising_drr': 43.0, 'po_raising_total_space': 800.0, 'po_raising_final_available_space': 452.0, 'order_date': '2026-03-14'}, 'open_po_2': {'promise_date': None, 'orderedquantity': 720.0, 'order_item_amount': 5464.8, 'open_po_cases': 18.0, 'mrp': 9.0, 'price_per_unit': 7.59, 'order_id': 'PO-00036', 'po_raising_drr': 118.0, 'po_raising_total_space': 800.0, 'po_raising_final_available_space': 756.0, 'order_date': '2026-03-16'}}",1000,7590.0,25.0,0,0.0,0.0,0.0,0.0,,8.84,6.94,Band C,0.0,2124,1000,1124,1160,FAIL
FC-001,Beverages,Dabur India Limited,FC-Alpha,SKU-00725,"Real Fruit Power Drink, Guava, 180ml Tetra Pak",Fruit Drinks,5,14,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,600,30,20.0,9620.0,467,"{'sellable': 452.0, 'contingency': 15.0, 'pending_putaway': None, 'under_transfer': 15.0}",35,0.2,,"{'open_po_1': {'promise_date': None, 'orderedquantity': 210.0, 'order_item_amount': 3366.3, 'open_po_cases': 7.0, 'mrp': 19.0, 'price_per_unit': 16.03, 'order_id': 'PO-00036', 'po_raising_drr': 35.0, 'po_raising_total_space': 600.0, 'po_raising_final_available_space': 278.0, 'order_date': '2026-03-16'}}",210,3366.0,7.0,0,13.342857142857143,0.0,0.0,0.0,,16.85,16.79,Band C,13.342857142857143,630,677,0,0,FAIL
FC-001,Beverages,Dabur India Limited,FC-Alpha,SKU-00780,"Real Fruit Power Drink, Mixed Fruit, 180ml Tetra Pak",Fruit Drinks,5,14,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,630,30,21.0,10101.0,179,"{'sellable': 29.0, 'contingency': 150.0, 'pending_putaway': None, 'under_transfer': 150.0}",154,0.21,19/03/26,"{'open_po_1': {'promise_date': '2026-03-21', 'orderedquantity': 330.0, 'order_item_amount': 5289.9, 'open_po_cases': 11.0, 'mrp': 19.0, 'price_per_unit': 16.029999999999998, 'order_id': 'PO-00036', 'po_raising_drr': 154.0, 'po_raising_total_space': 630.0, 'po_raising_final_available_space': 398.0, 'order_date': '2026-03-16'}, 'open_po_2': {'promise_date': '2026-03-19', 'orderedquantity': 540.0, 'order_item_amount': 8656.2, 'open_po_cases': 18.0, 'mrp': 19.0, 'price_per_unit': 16.03, 'order_id': 'PO-00053', 'po_raising_drr': 110.0, 'po_raising_total_space': 630.0, 'po_raising_final_available_space': 525.0, 'order_date': '2026-03-14'}}",870,13946.0,29.0,0,1.1623376623376624,0.0,0.0,0.0,,18.97,15.52,Band B,1.1623376623376624,2772,1049,1723,1740,FAIL
FC-001,Beverages,Dabur India Limited,FC-Alpha,SKU-00781,"Real Fruit Power Drink, Orange, 180ml Tetra Pak, MRP 20",Fruit Drinks,5,14,4,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,390,30,13.0,6253.0,15,"{'sellable': 15.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",156,0.214,19/03/26,"{'open_po_1': {'promise_date': '2026-03-21', 'orderedquantity': 330.0, 'order_item_amount': 5289.9, 'open_po_cases': 11.0, 'mrp': 19.0, 'price_per_unit': 16.029999999999998, 'order_id': 'PO-00036', 'po_raising_drr': 156.0, 'po_raising_total_space': 390.0, 'po_raising_final_available_space': 372.0, 'order_date': '2026-03-16'}, 'open_po_2': {'promise_date': '2026-03-19', 'orderedquantity': 330.0, 'order_item_amount': 5289.9, 'open_po_cases': 11.0, 'mrp': 19.0, 'price_per_unit': 16.029999999999998, 'order_id': 'PO-00053', 'po_raising_drr': 48.0, 'po_raising_total_space': 390.0, 'po_raising_final_available_space': 357.0, 'order_date': '2026-03-14'}}",660,10580.0,22.0,0,0.09615384615384616,0.0,0.0,0.0,,19.27,16.76,Band C,0.09615384615384616,2808,675,2133,2160,FAIL
FC-001,Health Care,Dabur India Limited,FC-Alpha,SKU-00045,"Hajmola Anardana Digestive Tablets, 40g Pack (20Pcs x 2g)",Digestives,5,16,5,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,300,100,3.0,4669.0,1,"{'sellable': 1.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",23,0.04,19/03/26,"{'open_po_1': {'promise_date': '2026-03-19', 'orderedquantity': 300.0, 'order_item_amount': 4668.0, 'open_po_cases': 3.0, 'mrp': 20.0, 'price_per_unit': 15.56, 'order_id': 'PO-00053', 'po_raising_drr': 23.0, 'po_raising_total_space': 300.0, 'po_raising_final_available_space': 300.0, 'order_date': '2026-03-14'}}",300,4668.0,3.0,0,0.043478260869565216,0.0,0.0,0.0,,18.39,14.81,Band C,0.043478260869565216,483,301,182,200,FAIL
FC-001,Health Care,Dabur India Limited,FC-Alpha,SKU-00374,"Hajmola Regular Digestive Tablets, 20Pcs Sachet",Digestives,5,16,5,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,200,100,2.0,3113.0,9,"{'sellable': 9.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",43,0.055,19/03/26,"{'open_po_1': {'promise_date': '2026-03-19', 'orderedquantity': 100.0, 'order_item_amount': 1556.0, 'open_po_cases': 1.0, 'mrp': 20.0, 'price_per_unit': 15.56, 'order_id': 'PO-00053', 'po_raising_drr': 30.0, 'po_raising_total_space': 200.0, 'po_raising_final_available_space': 200.0, 'order_date': '2026-03-14'}}",100,1556.0,1.0,91,2.3255813953488373,0.91,1544.27,5.005,,21.03,16.97,Band B,0.20930232558139536,903,109,794,800,FAIL
FC-001,Health Care,Dabur India Limited,FC-Alpha,SKU-00500,"Hajmola Regular Digestive Tablets, 50Pcs Bottle",Digestives,5,16,5,VND-054,DABUR INDIA LIMITED - Region Epsilon,30000,VALUE,288,144,2.0,6982.0,63,"{'sellable': 63.0, 'contingency': None, 'pending_putaway': None, 'under_transfer': None}",5,0.05,,"{'open_po_1': {'promise_date': None, 'orderedquantity': 144.0, 'order_item_amount': 3490.56, 'open_po_cases': 1.0, 'mrp': 28.0, 'price_per_unit': 24.24, 'order_id': 'PO-00036', 'po_raising_drr': 5.0, 'po_raising_total_space': 288.0, 'po_raising_final_available_space': 247.0, 'order_date': '2026-03-16'}}",144,3491.0,1.0,0,12.6,0.0,0.0,0.0,,28.47,24.76,Band C,12.6,105,207,0,0,FAIL
